'ol, ox , oy , oc , os , oh , ow, oa, vx , vy,texto
 19, 31 , 80 , 10 , 5  , 8  , 8 , 0 , 0  , 0 , 0 chave amarela
 11, 31 , 80 , 15 , 5  , 8  , 8 , 0 , 0  , 0 , 1 chave branca
 29, 31 , 80 , 1  , 5  , 8  , 8 , 0 , 0  , 0 , 2 chave preta
 1 , 31 ,153 , 10 , 6  , 8  , 8 , 0 , 0  , 0 , 3 espada
 23, 112,153 , 1  , 7  , 16 , 8 , 0 , 0  , 0 , 4 ima                         - 1o sprite 5  2o sprite: 14
 15, 51 ,153 , 0  , 8  , 16 , 8 , 1 , 0  , 0 , 5 taça                        -           6             15
 20, 60,  84 , 5  , 18 , 48 , 8 , 0 , 0  , 0 , 6 ponte                                   7             16
 27, 31 , 80 , 10 , 9  , 40 , 8 , 0 , 0  , 0 , 7 dragao amarelo (oa=status)              8             17
 13, 31 , 80 , 12  , 9  , 40 , 8 , 0 , 1  , 1 , 8 dragao verde   (oa=status)              9             18
 15, 31 , 80 , 8  , 9  , 40 , 8 , 0 , 1  , 1 , 9 dragao vermelho(oa=status)             10             19
 1 ,  3 , 80 , 1  , 24 , 20 , 8 ,-1 , 0  , 1 , 10 morcego       (oa=status)             11             20  
 1 , 76 , 111, 1  , 4  , 32 , 8 , 0 , 0  , 0 , 11 porta do castelo amarelo (oa: bit 256=1 aberto/0 fechado 0-255 sala que vai)
 22, 76 , 111, 1  , 4  , 32 , 8 , 27, 0  , 0 , 12 porta do castelo branco
 6 , 76 , 111, 1  , 4  , 32 , 8 , 7 , 0  , 0 , 13 porta do castelo preto
 5 , 70,   16, 4  , 27 , 16 , 16, 1 , 0  , 0 , 14 portal
 16, 72 , 178, 14 , 33 , 8  , 8 , 0 , 0  , 0 , 15 grey dot
 -1, 28 ,  80, 9  , 27 , 16 , 8, 0 , 0  , 0 , 16 portal laranja (indisponível)
 -1, 78 ,  80, 7  , 27 , 16 , 8, 0 , 0  , 0 , 17 portal azul  (indisponível)
 -1, 72 , 40 , 5  , 36 , 8 , 16, 0 , 0  , 0 , 18 arma de portal (indisponível)
