32,32,32,32,197,198,199,32,32,32,32,32
32,32,32,32,200,201,202,32,32,32,32,32
203,204,205,206,207,208,209,210,211,212,213,32
214,215,216,217,218,219,220,221,222,223,224,225
226,32,227,228,229,230,231,232,233,234,235,236
237,238,239,240,241,242,243,244,245,246,247,248
32,32,32,32,249,250,251,252,32,32,32,32
32,32,32,32,32,32,253,254,32,32,32,32
32,32,32,32,32,32,32,255,32,32,32,32
32,152,158,158,158,158,158,158,158,158,158,153
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,157,32,32,32,32,32,32,32,32,32,156
32,155,159,159,159,159,159,159,159,159,159,154
32,32,32,32,32,32,32,32,32,32,32,32
