rl,rc,rs,rn,re,ro,rf
8,10,1,0,0,0,0
128,10,2,0,4,3,2817
7,3,10,1,4,3,0
21,3,6,9,2,2,0
26,11,5,11,7,2,0
4,8,6,4,3,3,0
128,1,13,7,8,8,3329
12,8,6,8,8,8,0
8,4,7,5,12,12,0
129,4,3,10,12,12,0
130,4,9,5,11,13,0
131,4,4,12,13,10,0
132,4,11,13,9,9,0
133,4,12,6,10,11,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,15,22,22,22,22,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
